Sample in Buffer,Sample in Window,TRIGGER,design_1_i/ps7_0_axi_periph_M00_AXI_WREADY,design_1_i/ps7_0_axi_periph_M00_AXI_AWADDR[3:0],design_1_i/ps7_0_axi_periph_M00_AXI_BRESP[1:0],design_1_i/ps7_0_axi_periph_M00_AXI_BVALID,design_1_i/ps7_0_axi_periph_M00_AXI_BREADY,design_1_i/ps7_0_axi_periph_M00_AXI_ARADDR[3:0],design_1_i/ps7_0_axi_periph_M00_AXI_RREADY,design_1_i/ps7_0_axi_periph_M00_AXI_WVALID,design_1_i/ps7_0_axi_periph_M00_AXI_ARVALID,design_1_i/ps7_0_axi_periph_M00_AXI_ARREADY,design_1_i/ps7_0_axi_periph_M00_AXI_RDATA[31:0],design_1_i/ps7_0_axi_periph_M00_AXI_AWVALID,design_1_i/ps7_0_axi_periph_M00_AXI_AWREADY,design_1_i/ps7_0_axi_periph_M00_AXI_RRESP[1:0],design_1_i/ps7_0_axi_periph_M00_AXI_WDATA[31:0],design_1_i/ps7_0_axi_periph_M00_AXI_WSTRB[3:0],design_1_i/ps7_0_axi_periph_M00_AXI_RVALID,design_1_i/ps7_0_axi_periph_M00_AXI_ARPROT[2:0],design_1_i/ps7_0_axi_periph_M00_AXI_AWPROT[2:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
92,92,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
93,93,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
94,94,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
95,95,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
96,96,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
97,97,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
98,98,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
99,99,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
100,100,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
101,101,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
102,102,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
103,103,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
104,104,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
105,105,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
106,106,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
107,107,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
108,108,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
109,109,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
110,110,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
111,111,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
112,112,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
113,113,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
114,114,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
115,115,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
116,116,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
117,117,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
118,118,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
119,119,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
120,120,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
121,121,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
122,122,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
123,123,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
124,124,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
125,125,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
126,126,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
127,127,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
128,128,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
129,129,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
